﻿Tree #,Grant Number,Funder,Species,St. Address,Address Info,City,Ownership,X Coordinate,Y Coordinate,Census Tract,DAC Status,Date Planted,Stock Size,Grow Space,geom
2018092201,8GG17418,CAL FIRE,Platanus racemosa,3011 Rutgers Ave,SoCo -- Carver School,Long Beach,Public,-118.129321,33.811131,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.811131, -118.129321"
2018092210,8GG17418,CAL FIRE,Lophostemon confertus,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.128001,33.811555,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.811555, -118.128001"
2018092212,8GG17418,CAL FIRE,Lophostemon confertus,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.811555,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.811555, -118.127001"
2018092213,8GG17418,CAL FIRE,Lophostemon confertus,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.811555,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.811555, -118.127001"
2018092217,8GG17418,CAL FIRE,Lophostemon confertus,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.811555,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.811555, -118.127001"
2018092224,8GG17418,CAL FIRE,Lophostemon confertus,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.128001,33.811472,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.811472, -118.128001"
2018092228,8GG17418,Match,Pinus canariensis,3045 Bellflower Blvd,SoCo -- Carver School,Long Beach,Public,-118.126001,33.812694,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.812694, -118.126001"
2018092229,8GG17418,Match,Pinus canariensis,3045 Bellflower Blvd,SoCo -- Carver School,Long Beach,Public,-118.126001,33.812805,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.812805, -118.126001"
2018092231,8GG17418,Match,Pinus canariensis,3075 Bellflower Blvd,SoCo -- Carver School,Long Beach,Public,-118.126001,33.812707,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.812707, -118.126001"
2018092237,8GG17418,Match,Lagerstroemia indica,3129 Bellflower Blvd,SoCo -- Carver School,Long Beach,Public,-118.126001,33.814472,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.814472, -118.126001"
2018092239,8GG17418,Match,Lagerstroemia indica,3143 Bellflower Blvd,SoCo -- Carver School,Long Beach,Public,-118.126001,33.814472,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.814472, -118.126001"
2018092241,8GG17418,Match,Lagerstroemia indica,3143 Bellflower Blvd,SoCo -- Carver School,Long Beach,Public,-118.126001,33.814331,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.814331, -118.126001"
2018092248,8GG17418,Match,Ulmus parvifolia,5329 Scrivener St.,SoCo -- Carver School,Long Beach,Public,-118.128001,33.814472,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.814472, -118.128001"
2018092251,8GG17418,Match,Ulmas parvifolia,5335 Scrivener St.,SoCo -- Carver School,Long Beach,Public,-118.128001,33.813277,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.813277, -118.128001"
2018092253,8GG17418,Match,Ulmus parvifolia,5353 Scrivener St.,SoCo -- Carver School,Long Beach,Public,-118.128001,33.814586,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.814586, -118.128001"
2018092254,8GG17418,Match,Ulmus parvifolia,5403 Scrivener St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.812027,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.812027, -118.127001"
2018092260,8GG17418,Match,Ulmus parvifolia,5443 Scrivener St.,SoCo -- Carver School,Long Beach,Public,-118.126001,33.814584,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.814584, -118.126001"
2018092264,8GG17418,Match,Ulmus parvifolia,5451 Scrivener St.,SoCo -- Carver School,Long Beach,Public,-118.126001,33.812638,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.812638, -118.126001"
2018092267,8GG17418,Match,Celtis sinensis,5302 Rosebay St.,SoCo -- Carver School,Long Beach,Public,-118.129001,33.812833,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.812833, -118.129001"
2018092268,8GG17418,Match,Celtis sinensis,5312 Rosebay St.,SoCo -- Carver School,Long Beach,Public,-118.129001,33.813811,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.813811, -118.129001"
2018092269,8GG17418,Match,Celtis sinensis,5319 Rosebay St.,SoCo -- Carver School,Long Beach,Public,-118.129001,33.814055,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.814055, -118.129001"
2018092270,8GG17418,Match,Celtis sinensis,5319 Rosebay St.,SoCo -- Carver School,Long Beach,Public,-118.129001,33.813888,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.813888, -118.129001"
2018092277,8GG17418,Match,Jacaranda mimosifolia,5403 Pageantry St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.813207,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.813207, -118.127001"
2018092288,8GG17418,Match,Langerstroemia Indica,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.812194,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.812194, -118.127001"
2018092290,8GG17418,Match,Langerstroemia Indica,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.812444,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.812444, -118.127001"
2018092292,8GG17418,Match,Langerstroemia Indica,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.126001,33.812722,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.812722, -118.126001"
2018092296,8GG17418,Match,Langerstroemia Indica,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.813194,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.813194, -118.127001"
2018092297,8GG17418,Match,Langerstroemia Indica,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.811546,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.811546, -118.127001"
20180922101,8GG17418,Match,Ulmus parvifolia,5308 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.129001,33.811416,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.811416, -118.129001"
20180922103,8GG17418,Match,Ulmus parvifolia,5402 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.811416,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.811416, -118.127001"
20180922110,8GG17418,CAL FIRE,Lophostemon confertus,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.813138,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.813138, -118.127001"
20180922111,8GG17418,CAL FIRE,Lophostemon confertus,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.813138,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.813138, -118.127001"
20180922113,8GG17418,CAL FIRE,Lophostemon confertus,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.128001,33.813138,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.813138, -118.128001"
20180922115,8GG17418,CAL FIRE,Lophostemon confertus,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.128001,33.813111,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.813111, -118.128001"
20180922118,8GG17418,CAL FIRE,Lophostemon confertus,5335 Pavo St.,SoCo -- Carver School,Long Beach,Public,-118.129001,33.811551,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.811551, -118.129001"
20180922122,8GG17418,Match,Ulmus parvifolia,5339 Spring St.,SoCo -- Carver School,Long Beach,Public,-118.128001,33.810777,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.810777, -118.128001"
20180922127,8GG17418,Match,Ulmus parvifolia,5415 Spring St.,SoCo -- Carver School,Long Beach,Public,-118.127001,33.810771,6037574100,,2018-09-22,15-Gallon,5' parkway,"33.810771, -118.127001"
